INFO  - 2018-03-24 09:10:46.051; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2018-03-24 09:10:46.052; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2018-03-24 09:10:46.055; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2018-03-24 09:10:46.057; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2018-03-24 09:10:46.060; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2018-03-24 09:10:46.071; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2018-03-24 09:10:46.072; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2018-03-24 09:10:46.073; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2018-03-24 09:10:46.074; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2018-03-24 09:10:46.075; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2018-03-24 09:10:46.076; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2018-03-24 09:10:46.078; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2018-03-24 09:10:46.078; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2018-03-24 09:10:46.080; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2018-03-24 09:10:46.094; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2018-03-24 09:10:46.097; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2018-03-24 09:10:46.099; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2018-03-24 09:10:46.100; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2018-03-24 09:10:46.102; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2018-03-24 09:10:46.118; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2018-03-24 09:10:46.120; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2018-03-24 09:10:46.125; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(SimpleFSDirectory@E:\mysite\solr-4.10.4\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@E:\mysite\solr-4.10.4\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2018-03-24 09:10:46.126; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2018-03-24 09:10:46.133; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@10f1306[collection1] main
INFO  - 2018-03-24 09:10:46.140; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: E:\mysite\solr-4.10.4\example\solr\collection1\conf
INFO  - 2018-03-24 09:10:46.141; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=E:\mysite\solr-4.10.4\example\solr\collection1\conf}
INFO  - 2018-03-24 09:10:46.143; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=E:\mysite\solr-4.10.4\example\solr\collection1\conf
INFO  - 2018-03-24 09:10:46.149; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=E:\mysite\solr-4.10.4\example\solr\collection1\conf
INFO  - 2018-03-24 09:10:46.150; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
